get_cosine_schedule_with_warmup,step,loss/train_step,pearson/train_step,epoch,val_loss,val_acc,train_loss,train_acc,test_loss,test_acc
0.0,0,,,,,,,,,
,49,1.3436195850372314,2.759897688520141e-05,0,,,,,,
,99,0.5857998132705688,0.004515535663813353,0,,,,,,
,149,0.46416929364204407,0.002646836917847395,0,,,,,,
,199,0.38706648349761963,0.00022592586174141616,0,,,,,,
,249,0.31204891204833984,0.004123922903090715,0,,,,,,
,299,0.3029152750968933,0.004062090069055557,0,,,,,,
,349,0.6804332733154297,-0.0010060594649985433,0,,,,,,
,399,0.26353755593299866,0.002580476924777031,0,,,,,,
,449,0.34062492847442627,-0.007992512546479702,0,,,,,,
,499,0.32615625858306885,0.0012563418131321669,0,,,,,,
,549,0.25938236713409424,-0.00022188130242284387,0,,,,,,
,599,0.1837238073348999,0.0054735420271754265,0,,,,,,
,649,0.24825119972229004,0.002095392206683755,0,,,,,,
,699,0.22788962721824646,0.009184151887893677,0,,,,,,
,749,0.1677929162979126,-0.0001904689270304516,0,,,,,,
,799,0.25371232628822327,0.00978830736130476,0,,,,,,
,849,0.3027288317680359,0.004873506259173155,0,,,,,,
,899,0.1642000675201416,0.013587151654064655,0,,,,,,
,949,0.14500054717063904,-0.0032496259082108736,0,,,,,,
,999,0.15246152877807617,0.004372898489236832,0,,,,,,
,1049,0.21663352847099304,-0.004244801122695208,0,,,,,,
,1099,0.2569003403186798,0.009582937695086002,0,,,,,,
,1149,0.16673582792282104,0.008490405976772308,0,,,,,,
,1199,0.2545374035835266,0.02713046409189701,0,,,,,,
,1249,0.18118169903755188,0.013110706582665443,0,,,,,,
,1299,0.13838624954223633,0.010459552519023418,0,,,,,,
,1349,0.13948096334934235,0.0032953948248177767,0,,,,,,
,1399,0.1363832801580429,-0.0018778444500640035,0,,,,,,
,1449,0.18889835476875305,0.0006823578733019531,0,,,,,,
,1499,0.1782509684562683,0.010463378392159939,0,,,,,,
,1549,0.2582066059112549,0.01845928654074669,0,,,,,,
,1599,0.13331829011440277,0.015862945467233658,0,,,,,,
,1649,0.16547515988349915,0.0032551109325140715,0,,,,,,
,1699,0.14591380953788757,0.00684671476483345,0,,,,,,
,1749,0.22406524419784546,0.04101883992552757,0,,,,,,
,1799,0.157297745347023,0.02091974765062332,0,,,,,,
,1849,0.15916991233825684,0.032997261732816696,0,,,,,,
,1899,0.27585557103157043,0.06503482162952423,0,,,,,,
,1949,0.15085762739181519,0.03146116062998772,0,,,,,,
,1999,0.14863696694374084,0.018516024574637413,0,,,,,,
,2049,0.20978409051895142,0.01949644275009632,0,,,,,,
,2099,0.13880643248558044,0.025559278205037117,0,,,,,,
,2149,0.2069227695465088,0.10524687170982361,0,,,,,,
,2199,0.12460499256849289,0.05330878868699074,0,,,,,,
,2249,0.1783078908920288,0.02191031351685524,0,,,,,,
,2299,0.16137248277664185,0.08484699577093124,0,,,,,,
,2349,0.15606188774108887,0.01551265362650156,0,,,,,,
,2399,0.12481006979942322,0.01700667478144169,0,,,,,,
,2449,0.14293904602527618,0.03217808157205582,0,,,,,,
,2499,0.3022650182247162,0.031119225546717644,0,,,,,,
,2549,0.12781018018722534,0.01996588706970215,0,,,,,,
,2599,0.1856784075498581,0.07418105751276016,0,,,,,,
